original_text,text,pcl_label,par_id,art_id,topic,country,similarity,is_augmented
"Describing local police as under resourced and crime fighting legislation in need of an overhaul , she has urged the government to make urgent changes and funding commitments before community members were hurt .","Describing local police as under the resources and legislation on the fight against crime needing an overhaul, she urged the government to make urgent changes and funding commitments before the members of the community were injured.",0,5825,@@9438566,in-need,au,0.96105355,True
"The only force capable of stopping them is the poverty-stricken 99% below . But in their poverty , they are Hausa , Yoruba , Igbo , Ijaw , Igbira , Tiv , Idoma ; in their hopelessness , they are Moslems and Christians , too ignorant to understand that those divisions do n't exist in the class above their heads .","The only force capable of arresting them is 99% poverty below. But in their poverty, they are Hausa, Yoruba, Igbo, Ijaw, Igbira, Tiv, Idoma; In their despair, they are Muslims and Christians, too ignorant to understand that these divisions do not exist in the class above their heads.",1,7171,@@1934487,hopeless,ng,0.8565394,True
"Plans by the Government to return to bulk funding are likely to see increased class sizes and schools most in need missing out on much-needed resources , Labour 's Acting Education spokesperson Grant Robertson says . More&gt;&gt;","Government plans to return to bulk financing are likely to see an increase in classes and schools that most need to miss essential resources, said the acting spokesperson Grant Robertson. More & gt; & gt;",0,680,@@9525972,in-need,nz,0.8705669,True
"New figures reveal that more than 48,000 Rohingya babies are expected to be born in Bangladesh this year , beginning their lives in refugee camps and makeshift settlements where families rely on food rations to survive and live in flimsy tents made of plastic and bamboo , Save The Children reports .","New figures reveal that more than 48,000 Rohingyas babies are expected to be born in Bangladesh this year, starting their lives in refugee camps and makeshift colonies where families are counting on food rations to survive and live in fragile plastic and bamboo tents, except children.",0,4906,@@22596758,refugee,bd,0.9676299,True
"He then listed several immigrants , mostly from Muslim majority countries--Afghanistan , Iraq , Morocco , Pakistan , the Philippines , Somalia , Syria , Uzbekistan and Yemen--who were arrested for conducting or threatening to carry out violent attacks , teaching bomb-making to recruits , and otherwise supporting terror groups .","He then listed several immigrants, mainly Muslim majority countries - Afghanistan, Iraq, Morocco, Pakistan, Philippines, Somalia, Syria, Uzbekistan and Yemen - who were arrested for having led or threatened to carry out violent attacks, to teach the manufacture of bombs to recruitment and otherwise of terrorist groups.",0,8180,@@13717053,migrant,ph,0.9697289,True
The Sri Lanka 's high Commissioner in Australia Admiral Thisara Samarasinghe in an interview with the Sunday Observer said Sri Lanka is unrelentingly attacked by so- called refugee advocates for the four per cent of asylum seekers from Sri Lanka when there was 60-80 per cent refugees arriving in Australia from elsewhere .,Sri Lanka High Commissioner in Australia The Admiral Thisara Samarasinghe in an interview with The Sunday Observer said that Sri Lanka was recklessly attacked by refugee defenders for the four percent of Sri Lanka asylum seekers when there were 60 to 80% of refugees arriving in Australia.,0,215,@@2634175,refugee,lk,0.9106628,True
"Each one of these migrant workers often holds odd jobs . But before that , they have to spend two to three lakh taka on average just to get to the country , often selling their properties , or taking loans to do so .","Each of these migrant workers often has odd jobs. But before that, they have to spend two to three Lakh Taka on average just to go to the country, often sell their properties or take loans to do so.",0,5415,@@30054265,migrant,bd,0.99134505,True
"More than two-third of its population suffers from food insecurity , malnutrition and a general lack of access to basic health and sanitation services , according to the latest report for humanitarian assistance to the tune of US$114 million urgently needed to help the most vulnerable in North Korean society .","According to the latest humanitarian assistance report, more than two -thirds of its population suffers from food insecurity, malnutrition and a general lack of access to basic health and sanitation services.",0,764,@@17590030,vulnerable,my,0.77834094,True
"Like many undocumented immigrants living in the state he risks everything he has to get to work . "" The second you put the key in the ignition , you are looking over your shoulder . You are living with it non-stop . ""","Like many undocumented immigrants living in the state, he risks everything he has to go to work. ""The second where you put the key in the ignition, you look over your shoulder. You live with it without stop.""",0,5393,@@2283456,migrant,ie,0.9462695,True
"The Pentagon chief told reporters late last month that the program is designed to enlist immigrants with needed skills . "" We need and want every qualified patriot willing to serve and able to serve , "" Mattis said . At the time , he said the department was working diligently to address the security screening problems .","The Pentagon chief told journalists at the end of last month that the program was designed to enlist immigrants with the necessary skills. ""We need and want each qualified patriot is willing to serve and able to serve,"" said Mattis. At the time, he said that the ministry was working with diligence to resolve security screening problems.",0,7801,@@30102030,migrant,bd,0.93217885,True
"From his personal story and real-life encounters with poor families , manpower correspondent Toh Yong Chuan suggested shifting the focus from poor parents who repeatedly make bad decisions to their children ( "" Lifting families out of poverty : Focus on the children ; last Thursday ) .","According to his personal history and his real meetings with poor families, the workforce of the workforce, Toh Yong Chuan, suggested to move the attention of poor parents who have repeatedly taking bad decisions to their children (""Take families out of poverty: focus on children; last Thursday).",1,817,@@7532054,poor-families,sg,0.91628903,True
""" Unbelievable . They 're pitting two poor families against each other and making them feel guilty about helping somebody for our entertainment ? ""","""Incredible. They launch two families poor against each other and made them feel guilty to help someone for our entertainment?""",0,89,@@3317664,poor-families,au,0.91119677,True
"In a follow-up Instagram post , Reyez detailed , "" Yes this is who gatekeeper is about . My experience did n't get this awful . I hope these women find justice . ""","In an Instagram follow -up publication, Reez detailed: ""Yes, who is Gatekeeper. My experience did not get it horrible. I hope these women find justice.""",0,751,@@24610584,women,ng,0.7819199,True
