text,pcl_label
"She described local police as resource and crime legislation in situations where overhaul is needed, urging the government to make emergency changes and fund commitments before community members are harmed.",0
"The only force that can stop them is below 99% of poverty. But in their poverty they are Hausa, Yoruba, Ibo, Ijo, Igela, Tivir, Idima; in their despair they are Muslims and Christians, too ignorant to be unable to Understand that these splits do not exist in the class above their heads.",1
"Labour's acting education spokesman Grant Robertson said the government's plans could see an increase in class size, with most schools requiring much-needed resources. More",0
"New figures show that more than 48,000 Rohingya babies are expected to be born in Bangladesh this year, starting their lives in refugee camps and temporary settlements where families rely on food rations to survive and live in plastic and bamboo. The fragile tent saved the children, report.",0
"He then listed several immigrants, mainly from Muslim majority countries - Afghanistan, Iraq, Morocco, Pakistan, the Philippines, Somalia, Somalia, Syria, Uzbekistan and Yemen, who were taught to bomb manufacturing for or threatening to conduct violent attacks. The arrest of the bomb attack provided support to recruits and other supporting terrorist organizations.",0
"Sri Lanka’s attack in Australia, Thisara samarasinghe, said in an interview with Sunday Observer that the attack in Sri Lanka was attacked by a quarter of Sri Lanka’s sanctuary, an advocate known as “refugees”, 60- 80% of shelter refugees arrive in Australia from elsewhere.",0
"Each of these migrant workers usually has odd jobs. But before that, they had to spend an average of Tk20 to 300,000, just to get to the country, often selling real estate or borrowing loans.",0
"According to the latest report on humanitarian aid, its food insecurity, malnutrition and widespread lack of access to basic health and health services, suffering from food insecurity, malnutrition and widespread lack of access, is in urgent need of $114 million to help The most vulnerable people to help the most vulnerable suffer from food insecurity, malnutrition, malnutrition, malnutrition, malnutrition, and a general lack of access to basic health and sanitation services.",0
"Like many undocumented immigrants living in the state, he risked everything he had to go to work. ""The second second you put the key in the ignition switch, you are looking at your shoulders. You are living non-stop.""",0
"The Pentagon head told reporters late last month that the program aims to attract immigrants with the necessary skills. “We need and want every qualified patriot to be willing and able to serve,” Mattis said, who, at the time, said the department was working to address safety screening issues.",0
"From his personal story and real life encounters poor families, human correspondent Toh Yong Chuan suggests shifting the focus to poor parents who repeatedly make wrong decisions to their children (“to lift families out of poverty” : Focus on children; last Thursday).",1
"""Incredible. They compare with each other with two poor families, making them feel indifferent to the entertainment that helps someone?""",0
"Reyez details in a follow-up Instagram post: ""Yes, this is the gatekeeper's identity. My experience is not bad. I hope these women find justice.""",0
"The Ufuoma Farmers Association President, a model in West Africa with more than 600 farmers operating in a cluster, told our correspondent that his association will be able to meet 70% of the protein needs if it is given the support needed.",0
"""I'm very happy now. I hope to be able to enter social care and work with children with disabilities in primary schools every year in four years,"" the Kilmallock man explained.",0
"Therefore, the education-labor market link is characterized by a vicious cycle in which poor children have access to poor quality education, which in turn limits their participation in the economy and hinders the efforts of the next generation to obtain a good education. Our research identifies low-quality education as the main poverty trap, hindering the upward movement of children in poor families.",1
Nawal Soufi is an Arabic-speaking Italian based in Sicily and often contacts migrants in distress.,0
"""Because it's easier and cheaper than Europe,"" he said. ""Australia was a leading country at the time, welcoming refugees and giving them shelter. I was thinking about the future of my children and thinking about the future of my life. Boat and Ji The Rad government desperately abandoned the way to stop them. Mr. Syed hoped that his family would remain relatively safe in Quetta, where he lives. Traveling outside that enclave was an adventure. This is consistent with the independent report on the situation in the city. The Pakistan Human Rights Commission said the city's Hazaras ""retreats to several areas of Quetta to avoid being targeted"".",0
"Mr Tuju, the Cabinet Secretary without a portfolio, said the government was at the top of a national humanitarian crisis and would ensure that those in need would receive the help they needed.",0
"This is one of the doors that foreign investors use or may use. Unfortunately, the provision is not eligible and specifies the nature of the immigration quota. Now, Asians are flooding the market in the name of foreign investors.",0
"The storm's road forced the largest evacuation in Miami-Dade County's history and sent millions of Floridians to escape. The first major hurricane to hit Florida since Wilma in 2005 has wasted the small island of Barbuda, killing at least 25 people and leaving homeless in the Caribbean .",0
"Research shows that families make up a large and growing population of the homeless population in the region, especially in rural areas. Abuse, underemployment, severe illness and social distancing often leave families with nowhere to go. Home Horizon bridges the key gap identified between emergency shelter and independent living by finding vulnerable groups in crisis to rebuild safe places for living through transitional housing and personal support/counseling.",0
"U.S. and European officials are very concerned about what they call Russian actions, including cyber attacks, fake news coverage and support for right-wing parties - aimed at promoting the electoral prospects of anti-immigrant politicians in France, Germany and Germany, the Netherlands, undermining the EU and NATO's public support.",0
- Review/upgrade PRD and BOS to handle the expected homelessness.,0
"He added: “If a person is homeless and forced to live in the streets of any country, it is a shame to the people of that country.”",1
"Throughout history, the Philippines has accepted refugees, including white Russians in the 1920s, Jewish refugees in the 1930s, Vietnamese crew members in the 1970s, and refugees from East Timor in 2000.",0
"""This homeless nostalgia is the fate of our generation and tribe. I am not the only one walking on this painful journey, a caravan of all wounded souls is walking with me."" (Ashfaq Ahmed )",1
"The governor of the home town of the late saints aims to destroy the icons built by sending self-sufficiency or sending students to poor families to gain a good education to improve their lives, thus denying their lives, they are Nigeria One of the so-called basic human rights in the Constitution of the Federal Republic, he vowed to maintain it on May 29, 2011.",0
"As for residents with disabilities who are in trouble, having an “ICA Family Visit Team” will facilitate the process. Mr. Li added that this is an existing procedure.",0
