original_text,text,pcl_label,par_id,art_id,topic,country,similarity,is_augmented
"Describing local police as under resourced and crime fighting legislation in need of an overhaul , she has urged the government to make urgent changes and funding commitments before community members were hurt .","She described local police as resource and criminal legislation in situations where overhaul is needed, urging the government to make emergency changes and fund commitments before community members are harmed.",0,5825,@@9438566,in-need,au,0.8964718,True
"The only force capable of stopping them is the poverty-stricken 99% below . But in their poverty , they are Hausa , Yoruba , Igbo , Ijaw , Igbira , Tiv , Idoma ; in their hopelessness , they are Moslems and Christians , too ignorant to understand that those divisions do n't exist in the class above their heads .","The only force that can stop them is below 99% of poverty. But in their poverty they were Hausa, Yoruba, Ibo, Ijo, Igela, Tivir, Idima; in their despair they were Muslims and Christians, too ignorant to understand that these divisions did not exist in the classes above their heads.",1,7171,@@1934487,hopeless,ng,0.8780434,True
"Plans by the Government to return to bulk funding are likely to see increased class sizes and schools most in need missing out on much-needed resources , Labour 's Acting Education spokesperson Grant Robertson says . More&gt;&gt;","Labour's agent education spokesman Grant Robertson said the government's plans could see an increase in class size, with most schools requiring much-needed resources. More",0,680,@@9525972,in-need,nz,0.8120871,True
"New figures reveal that more than 48,000 Rohingya babies are expected to be born in Bangladesh this year , beginning their lives in refugee camps and makeshift settlements where families rely on food rations to survive and live in flimsy tents made of plastic and bamboo , Save The Children reports .","New figures show that more than 48,000 Rohingya babies will be born in Bangladesh this year, starting their lives in refugee camps and temporary settlements where families rely on food rations to survive and live in fragile tents made of plastic and bamboo, preserving reports of children.",0,4906,@@22596758,refugee,bd,0.99064124,True
"He then listed several immigrants , mostly from Muslim majority countries--Afghanistan , Iraq , Morocco , Pakistan , the Philippines , Somalia , Syria , Uzbekistan and Yemen--who were arrested for conducting or threatening to carry out violent attacks , teaching bomb-making to recruits , and otherwise supporting terror groups .","He then listed several immigrants, mainly from Muslim majority countries - Afghanistan, Iraq, Morocco, Pakistan, the Philippines, Somalia, Somalia, Syria, Uzbekistan and Yemen, who were arrested for or threatening to carry out violent attacks, bomb attacks, and support terrorist groups, as well as support terrorist groups.",0,8180,@@13717053,migrant,ph,0.9612811,True
The Sri Lanka 's high Commissioner in Australia Admiral Thisara Samarasinghe in an interview with the Sunday Observer said Sri Lanka is unrelentingly attacked by so- called refugee advocates for the four per cent of asylum seekers from Sri Lanka when there was 60-80 per cent refugees arriving in Australia from elsewhere .,Sri Lanka’s Admiral Thisarasarasinghe said in an interview with Sunday Observer that Sri Lanka’s remarks ruthlessly attacked a quarter of Sri Lanka’s numerous refugees in Australia reaching 60-80 refugees in Australia for four years after the attack on Sri Lanka.,0,215,@@2634175,refugee,lk,0.83349335,True
"Each one of these migrant workers often holds odd jobs . But before that , they have to spend two to three lakh taka on average just to get to the country , often selling their properties , or taking loans to do so .","Each of these migrant workers usually has odd jobs. But before that, they had to spend an average of Tk20 to 300,000, just to get to the country, often selling real estate or borrowing loans.",0,5415,@@30054265,migrant,bd,0.83385915,True
"More than two-third of its population suffers from food insecurity , malnutrition and a general lack of access to basic health and sanitation services , according to the latest report for humanitarian assistance to the tune of US$114 million urgently needed to help the most vulnerable in North Korean society .","According to the latest report on humanitarian aid, its food insecurity, malnutrition and general lack of basic health and health services, its food insecurity, malnutrition and general lack of access, is urgently needed $114 million to help the most vulnerable people in North Korean society and, therefore, its food insecurity, malnutrition and general lack of basic health and health services.",0,764,@@17590030,vulnerable,my,0.92026436,True
"Like many undocumented immigrants living in the state he risks everything he has to get to work . "" The second you put the key in the ignition , you are looking over your shoulder . You are living with it non-stop . ""","Like many undocumented immigrants living in the state, he risked everything he had to go to work. ""The second second you put the key in the ignition switch, you are looking at your shoulders. You are living non-stop.""",0,5393,@@2283456,migrant,ie,0.8712674,True
"The Pentagon chief told reporters late last month that the program is designed to enlist immigrants with needed skills . "" We need and want every qualified patriot willing to serve and able to serve , "" Mattis said . At the time , he said the department was working diligently to address the security screening problems .","The Pentagon head told reporters late last month that the program aims to attract immigrants with the necessary skills. “We need and want every qualified patriot to be willing and able to serve,” Mattis said, who, at the time, said the department was working to address safety screening issues.",0,7801,@@30102030,migrant,bd,0.9364439,True
