original_text,text,pcl_label,par_id,art_id,topic,country,similarity,is_augmented
"Describing local police as under resourced and crime fighting legislation in need of an overhaul , she has urged the government to make urgent changes and funding commitments before community members were hurt .","Describing the local police as a legislation on the fight against crime and the fight against crime in need of major repairs, she called on the government to make urgent changes and financing obligations before the community members were injured.",0,5825,@@9438566,in-need,au,0.83179426,True
"The only force capable of stopping them is the poverty-stricken 99% below . But in their poverty , they are Hausa , Yoruba , Igbo , Ijaw , Igbira , Tiv , Idoma ; in their hopelessness , they are Moslems and Christians , too ignorant to understand that those divisions do n't exist in the class above their heads .","The only force capable of stopping them is 99% lower from poverty. But in their poverty, they are House, Yoruba, Igbo, Ijo, Igra, Tiv, idom; In their hopelessness, they are Muslims and Christians, too ignorant to understand that these disagreements do not exist in the class over their heads.",1,7171,@@1934487,hopeless,ng,0.91942775,True
"Plans by the Government to return to bulk funding are likely to see increased class sizes and schools most in need missing out on much-needed resources , Labour 's Acting Education spokesperson Grant Robertson says . More&gt;&gt;","According to the representative of the Labor Education, Grant Robertson, the government’s plans to return to the amount of financing will probably see an increase in the size of classes and schools, most in need that they most need such necessary resources. More & gt; & gt;",0,680,@@9525972,in-need,nz,0.8344457,True
"New figures reveal that more than 48,000 Rohingya babies are expected to be born in Bangladesh this year , beginning their lives in refugee camps and makeshift settlements where families rely on food rations to survive and live in flimsy tents made of plastic and bamboo , Save The Children reports .","New figures show that more than 48,000 children of the Rohingja will be born in Bangladesh, starting with their lives in refugee camps and improvised settlements, where families rely on food diets to survive and live in fragile tents from plastic and bamboo, rescue children's reports.",0,4906,@@22596758,refugee,bd,0.90747076,True
"He then listed several immigrants , mostly from Muslim majority countries--Afghanistan , Iraq , Morocco , Pakistan , the Philippines , Somalia , Syria , Uzbekistan and Yemen--who were arrested for conducting or threatening to carry out violent attacks , teaching bomb-making to recruits , and otherwise supporting terror groups .","Then he listed several immigrants, mainly from the Muslim countries of the Afghanistan, Iraq, Morocco, Pakistan, the Philippines, Somalia, Syria, Uzbekistan and Yemena-Hotnya were arrested for conducting or threatening for violent attacks, teaching bombers and otherwise supporting terror groups.",0,8180,@@13717053,migrant,ph,0.9121974,True
The Sri Lanka 's high Commissioner in Australia Admiral Thisara Samarasinghe in an interview with the Sunday Observer said Sri Lanka is unrelentingly attacked by so- called refugee advocates for the four per cent of asylum seekers from Sri Lanka when there was 60-80 per cent refugees arriving in Australia from elsewhere .,"The Supreme Commissioner of Sri Lanka in Australia Admiral Tutira Samarasinghe in an interview with the Sunday observer said that Sri Lanka would not delight the so-called refugees defenders for four percent, looking for shelters from Sri Lanka, when 60-80 refugees in Australia arrived in Australia.",0,215,@@2634175,refugee,lk,0.8122889,True
"Each one of these migrant workers often holds odd jobs . But before that , they have to spend two to three lakh taka on average just to get to the country , often selling their properties , or taking loans to do so .","Each of these workers -migrants often has a strange job. But before that, they have to spend on average two to three lackes as to get to the country, often selling their objects, or by purchasing loans for this.",0,5415,@@30054265,migrant,bd,0.78974897,True
"More than two-third of its population suffers from food insecurity , malnutrition and a general lack of access to basic health and sanitation services , according to the latest report for humanitarian assistance to the tune of US$114 million urgently needed to help the most vulnerable in North Korean society .","According to the last report on humanitarian aid, more than two -thirds of its population suffer from the lack of food security, malnutrition and general lack of access to the main services for health and sanitation.",0,764,@@17590030,vulnerable,my,0.7563231,True
"Like many undocumented immigrants living in the state he risks everything he has to get to work . "" The second you put the key in the ignition , you are looking over your shoulder . You are living with it non-stop . ""","Like many immigrants without documents living in the state, he risks everything he needs to get to work. “At the moment when you put the key in the ignition, you look over your shoulder. You live with him without a break. ”",0,5393,@@2283456,migrant,ie,0.8300799,True
"The Pentagon chief told reporters late last month that the program is designed to enlist immigrants with needed skills . "" We need and want every qualified patriot willing to serve and able to serve , "" Mattis said . At the time , he said the department was working diligently to address the security screening problems .","At the end of last month, the Pentagon's head told reporters that the program is designed to attract immigrants with the necessary skills. “We need and want every qualified patriot to want to serve and is able to serve,” Mattis said. At that time, he said that the department is working hard to solve security checks.",0,7801,@@30102030,migrant,bd,0.90579563,True
"From his personal story and real-life encounters with poor families , manpower correspondent Toh Yong Chuan suggested shifting the focus from poor parents who repeatedly make bad decisions to their children ( "" Lifting families out of poverty : Focus on the children ; last Thursday ) .","From his personal history and real meetings with poor families, the work force correspondent TOH Yong Juan offered to shift the emphasis from poor parents who repeatedly make bad decisions for their children (“Family output from poverty: concentrate on children; last Thursday).",1,817,@@7532054,poor-families,sg,0.810745,True
""" Unbelievable . They 're pitting two poor families against each other and making them feel guilty about helping somebody for our entertainment ? """,“Incredible. They experience two poor families against each other and make them feel guilty of what helped anyone in our entertainment? ”,0,89,@@3317664,poor-families,au,0.8507929,True
"In a follow-up Instagram post , Reyez detailed , "" Yes this is who gatekeeper is about . My experience did n't get this awful . I hope these women find justice . ""","In a follow-up Instagram post , Reyez detailed , "" Yes this is who gatekeeper is about . My experience did n't get this awful . I hope these women find justice . """,0,751,@@24610584,women,ng,0.39697695,False
"The President of Ufuoma Fish Farmers Association , a model in the sub West African region with over 600 farmers operating in a cluster , told our correspondent that his association is capable of meeting 70% of protein needs of Deltans if given the desired support .","The President of the Association of Ufuoma Fish farmers, a model in a sub -wing African region with more than 600 farmers working in a cluster, told our correspondent that his association is able to satisfy 70% of the needs of protein deltas if the desired support is provided.",0,203,@@17188116,in-need,ng,0.9712844,True
""" I 'm happy enough now . I 'm hopefully going into LIT to do social care and after the four years do a year add-on to work with disabled children in primary school , "" the Kilmallock man explained .",""" I 'm happy enough now . I 'm hopefully going into LIT to do social care and after the four years do a year add-on to work with disabled children in primary school , "" the Kilmallock man explained .",0,7617,@@20054599,disabled,ie,0.512469,False
"Thus , the education -- labour market connection is characterised by a vicious circle whereby poor children obtain poor quality education , which in turn limits their participation in the economy and obstructs the next generation 's efforts to get a good education . Our research has identified low-quality education as the main poverty trap holding back upward mobility of children from poor families .","Thus, education - connection in the labor market is characterized by a vicious circle, in which poor children get low quality education, which, in turn, limits their participation in the economy and prevents the efforts of the next generation to obtain a good education. Our study defined low -quality education as the main poverty trap that holds up the mobility of children from poor families.",1,3087,@@23215041,poor-families,ie,0.9651503,True
"Nawal Soufi , an Arabic-speaking Italian based in Sicily who is often contacted by migrants in distress , told AFP she had had a call earlier today about a boat in trouble with some 600 people on board .","Nawal Soufi , an Arabic-speaking Italian based in Sicily who is often contacted by migrants in distress , told AFP she had had a call earlier today about a boat in trouble with some 600 people on board .",0,1202,@@3489267,migrant,ie,0.56582606,False
""" Because it was easier and cheaper than Europe , "" he says . "" At that time Australia was a leading country , welcoming refugees and giving them shelter . I was thinking about the future of my children and thinking about the future of my own life . "" At that time too , record numbers of asylum seekers were reaching Australia by boat and the Gillard government was desperately casting around for ways to deter them . Mr Syed hopes his family can keep themselves relatively safe in Quetta secluded in the predominantly Hazara suburb where they live . To travel outside that enclave is to take a grave risk . This is consistent with independent reports on the situation in the city . The Human Rights Commission of Pakistan says the city 's Hazaras "" have retreated to just a couple of localities in Quetta to avoid being targeted "" .","“Because it was simpler and cheaper than in Europe,” he says. “At that time, Australia was a leading country, greeted refugees and gave them shelter. I thought about the future of my children and thought about the future of my own life. ” At that time, a record number of asylum petitions reached Australia on a boat, and the Gillard government desperately was desperately played out in ways. M -Sida hopes that his family will be able to remain safe in Kvetta, secluded in the suburbs where they live. To travel on the street of this enclave means to take a chance with serious risk. This is consistent with independent messages about the situation in the city. The Human Rights Commission of Pakistan says that the Khazars of the city ""retreated only in a couple of settlements in Kvetta so as not to be aimed.""",0,4395,@@2658601,refugee,au,0.7778516,True
"Mr Tuju , the Cabinet Secretary without portfolio , says the government is on top of the humanitarian crisis situation across the country and will ensure those in need receive the help they need .","Mr. Tuj, Minister of the Cabinet of Ministers without a portfolio, says that the government is at the top of the humanitarian crisis situation throughout the country and will provide the need for the necessary assistance.",0,5718,@@24433372,in-need,ke,0.8976425,True
"This is one of the doors , which the foreign investors use or likely to use . Unfortunately the provision does not qualify and specify the nature of immigrant quota . Asians are now flooded the market under the name of foreign investors .","This is one of the doors that foreign investors use or can use. Unfortunately, the situation does not correspond and does not indicate the nature of the quota of immigrants. Asians are currently flooded with a market called foreign investors.",0,2646,@@1794867,immigrant,tz,0.9681256,True
"The storm 's path forced the largest evacuation in Miami-Dade County history and sent millions of Floridians fleeing . It 's the first major hurricane to hit Florida since Wilma in 2005 and has already laid waste to the small island of Barbuda , killed at least 25 people and left thousands homeless across the Caribbean .","The path of the storm caused the largest evacuation in the history of the district of Miami-Dad and sent millions of running Floridas. This is the first major hurricane to amaze Florida from Wilma in 2005 and already spent waste on a small island of Barbud, killed at least 25 people and left thousands of homeless people on the Caribbean basin.",0,5789,@@20471590,homeless,in,0.906303,True
"Research shows that families constitute a large and growing percentage of the area 's homeless population , especially in rural areas . Abuse , underemployment , serious illness and social isolation can often put a family in crisis with no place to go . Home Horizon bridges the identified critical gap between emergency shelter and independent living by finding vulnerable people in crisis a safe place to live through transitional housing and personal support/counselling to re-establish their lives .","Studies show that families make up a large and growing percentage of the homeless population of the district, especially in rural areas. Abuse, sufficient employment, serious diseases and social isolation can often put a family in a crisis without a place. The home horizon connects a certain critical gap between the shelter in emergency situations and an independent life, finding vulnerable people in a crisis with a safe place for transitional housing and personal support/counseling to restore their lives.",0,1180,@@4292818,homeless,ca,0.93837225,True
"U.S. and European officials remain deeply worried over what they say are unrelenting Russian actions -- including cyber attacks , fake news reports and support for right-wing parties -- aimed at boosting the election prospects of anti-immigrant politicians in France , Germany and the Netherlands and undermining popular support for the European Union and NATO .","The US and Europe officials are still deeply concerned that, according to them, they are non-consuming Russian actions-inclusive cyber attacks, fake news and support for right-wing parties, are controlled to increase the prospects for the elections of anti-immigrant politicians in France, Germany and the Netherlands and maintain the popular support of the European Union and NATO.",0,205,@@16987193,immigrant,my,0.93960714,True
- Audit/upgrade PRD and BOS to handle the anticipated explosion of homelessness .,- Audit/Update PRD and BOS to process the expected explosion of homelessness.,0,2941,@@21367593,homeless,jm,0.9601364,True
""" If a single human being is rendered homeless and forced to live in the street in any country , it is shame to the people of that country , "" he adds .","“If one person remains homeless and is forced to live on the street in any country, this is shame for the people of this country,” he adds.",1,3954,@@1815374,homeless,tz,0.9507684,True
"Throughout history , the Philippines has accepted refugees , among them White Russians in the ' 20s , Jewish refugees in the ' 30s , the Vietnamese boat people in the ' 70s , and refugees from East Timor in 2000 .","Throughout history, the Philippines received refugees, among whom the white Russians in the 20s, Jewish refugees in the 30s, Vietnamese boats in the 70s and refugees from East Timor in 2000.",0,6018,@@19109286,refugee,ph,0.9673682,True
""" This nostalgia of homelessness is the fate of my generation and tribe . I am not the only one walking on this pathway of anguish , a whole caravan of wounded souls is walking with me . "" ( Ashfaq Ahmed )","“This nostalgia for homelessness is the fate of my generation and tribe. I am not the only one who goes along this path of flour, a whole caravan from wounded souls walks with me. ” (Ashfak Ahmed)",1,1123,@@4661628,homeless,pk,0.9113019,True
"The governor of the home state of the late sage is bent on destroying the pillars upon which the icon built by sending students who are self-sponsored or from poor families but struggling to get good education to better their lives out of the school , thereby denying them of one of the fundamental human rights as enshrined in the constitution of the Federal Republic of Nigeria , which he swore to uphold on May , 29 , 2011 .","The Governor of the home state of the deceased sage seeks to destroy the pillars on which the icon built by sending students who are sponsored, or from poor families, but try their best to get a good education to improve their life from school, thereby denying them in one of the fundamental human rights, enshrined in the Constitution of the Federal Republic of Nigeria, which he emphasized in May 29, 2011, 2011, 2011.",0,561,@@1836575,poor-families,ng,0.9245477,True
"As for disabled residents who have difficulties leaving their homes , there are "" ICA home-visit teams "" who will facilitate the process . It 's an existing procedure , added Mr Lee .","As for residents of disabled people who are experiencing difficulties that leave their homes, there are “Home-Visit” ICA teams that will contribute to the process. This is an existing procedure, added Mr.",0,8368,@@15315126,disabled,sg,0.9560118,True
"Film star Reema also believes that this is n't the time for iftar parties so she was n't throwing any . "" I think we should save every penny at this time and send it to help for flood victims . Hundreds of thousands of people are waiting for our help and the money which is otherwise spent on iftar parties should be sent to these people in need , "" she maintained .","Reema also believes that this is not the time for Iftar's parties, so she did not leave. “I think that we must save every penny at this time and send it to help the victims of the flood. Hundreds of thousands of people are waiting for our help, and money that is otherwise spent on the Iftar party should be sent to these needy people, ”she said.",1,7846,@@4517782,in-need,pk,0.8803534,True
"At the Kashmere Gate ISBT , another team of former defence personnel was greeted with a salute of ' Jai Hind saab ' by a homeless man .","At the Kashmere Gate ISBT , another team of former defence personnel was greeted with a salute of ' Jai Hind saab ' by a homeless man .",0,3692,@@8287644,homeless,in,0.74038154,False
"Terry has been consistent in his desire to continue playing beyond this season , but the veteran defender 's body is proving increasingly vulnerable to injury and he has not started a Premier League match since straining ankle ligaments against Swansea City in September .","Terry was consistent in his desire to continue to play outside this season, but the body of the veteran’s defender is increasingly vulnerable to injuries, and he did not begin the match in the premiere of the Liga since he did not begin a ligament of the ankle joint against Surans.",0,6305,@@15885262,vulnerable,ng,0.86210364,True
Eye witness who sought anonymity said the illegal immigrants were spotted by some of the villagers who were heading to their farms in the morning .,"The witness, who was looking for anonymity, said that illegal immigrants were seen by some of the rural residents who were sent to their farms in the morning.",0,1353,@@1812629,migrant,tz,0.8836305,True
"More than a million migrants have arrived in Germany in the last three years , many of them fleeing conflict in the Middle East , causing concern that anti-Semitism could increase .","Over the past three years, more than a million migrants have arrived in Germany, many of which were saved from the conflict in the Middle East, causing concern that anti -Semitism could increase.",0,3711,@@22256772,migrant,us,0.97160864,True
