original_text,text,pcl_label,par_id,art_id,topic,country,similarity,is_augmented
"Describing local police as under resourced and crime fighting legislation in need of an overhaul , she has urged the government to make urgent changes and funding commitments before community members were hurt .",It described the local police as under resources and crime against laws that require a revision requested the government to make urgent changes and financing obligations before violating the parishioners.,0,5825,@@9438566,in-need,au,0.77837664,True
"The only force capable of stopping them is the poverty-stricken 99% below . But in their poverty , they are Hausa , Yoruba , Igbo , Ijaw , Igbira , Tiv , Idoma ; in their hopelessness , they are Moslems and Christians , too ignorant to understand that those divisions do n't exist in the class above their heads .","The only force that is able to stop it is the 99% affected by poverty. But in their poverty they are Hausa, Yoruba, Igbo, Ijaw, Igbira, Tiv, Idoma; In their hopelessness, they are Muslims and Christians too ignorant to understand that these divisions do not exist in the class above their heads.",1,7171,@@1934487,hopeless,ng,0.92311823,True
"Plans by the Government to return to bulk funding are likely to see increased class sizes and schools most in need missing out on much-needed resources , Labour 's Acting Education spokesperson Grant Robertson says . More&gt;&gt;","The government's plans to return to mass financing are likely to be increased class sizes and schools that miss the urgently needed resources, says Grant Robertson, spokesman for the incumbent education of Labor,. More & gt; & gt;",0,680,@@9525972,in-need,nz,0.87323105,True
"New figures reveal that more than 48,000 Rohingya babies are expected to be born in Bangladesh this year , beginning their lives in refugee camps and makeshift settlements where families rely on food rations to survive and live in flimsy tents made of plastic and bamboo , Save The Children reports .","New figures show that more than 48,000 Rohingya babies in refugee camps and temporary settlements in Bangladesh are born in Bangladesh this year, in which families rely on food rations to survive and live in flimsy tents from plastic and bamboo, save the children's reports.",0,4906,@@22596758,refugee,bd,0.96025586,True
"He then listed several immigrants , mostly from Muslim majority countries--Afghanistan , Iraq , Morocco , Pakistan , the Philippines , Somalia , Syria , Uzbekistan and Yemen--who were arrested for conducting or threatening to carry out violent attacks , teaching bomb-making to recruits , and otherwise supporting terror groups .","He then listed several immigrants, mainly from Muslim majority-countries Afghanistan, Iraq, Morocco, Pakistan, the Philippines, Somalia, Syria, Uzbekistan and Yemen-The-Die because of the implementation or threat of violent attacks, recruitment bombs were arrested, and the support of terrorist groups were informed.",0,8180,@@13717053,migrant,ph,0.9293125,True
The Sri Lanka 's high Commissioner in Australia Admiral Thisara Samarasinghe in an interview with the Sunday Observer said Sri Lanka is unrelentingly attacked by so- called refugee advocates for the four per cent of asylum seekers from Sri Lanka when there was 60-80 per cent refugees arriving in Australia from elsewhere .,"The high commissioner of Sri Lanka in Australia Admiral Thisara Samarasinghe said in an interview with the Sunday observer that Sri Lanka was relentlessly from so -called refugee lawyers for the four percent of asylum seekers of Sri Lanka, which was received by Sri Lanka, at 60 to 80 percent, which in Australia argued in Australia from other in Australia.",0,215,@@2634175,refugee,lk,0.8731375,True
"Each one of these migrant workers often holds odd jobs . But before that , they have to spend two to three lakh taka on average just to get to the country , often selling their properties , or taking loans to do so .","Each of these migrant workers often has strange jobs. But before that, you have to spend an average of two to three Lakh Taka to get to the country, to sell your real estate often or to take loans.",0,5415,@@30054265,migrant,bd,0.92868835,True
"More than two-third of its population suffers from food insecurity , malnutrition and a general lack of access to basic health and sanitation services , according to the latest report for humanitarian assistance to the tune of US$114 million urgently needed to help the most vulnerable in North Korean society .","More than two thirds of its population suffers from uncertainty, malnutrition and a general lack of access to basic health and sanitary services. This goes from the latest report on humanitarian aid of $ 114 million, which are urgently needed to help the most endangered in North Korean society.",0,764,@@17590030,vulnerable,my,0.88869965,True
"Like many undocumented immigrants living in the state he risks everything he has to get to work . "" The second you put the key in the ignition , you are looking over your shoulder . You are living with it non-stop . ""","Like many undocumented immigrants who live in the state, he risks everything he has to go to work. ""In the second that they put the key into the ignition, they look over their shoulders. They live with it continuously.""",0,5393,@@2283456,migrant,ie,0.9131944,True
"The Pentagon chief told reporters late last month that the program is designed to enlist immigrants with needed skills . "" We need and want every qualified patriot willing to serve and able to serve , "" Mattis said . At the time , he said the department was working diligently to address the security screening problems .","The Pentagon boss informed the reporters at the end of the last month that the program should include immigrants with the necessary skills. ""We need and want to serve and serve every qualified patriot who is willing,"" said Mattis. At that time he said the department was working hard to solve the problems of the security demonstration.",0,7801,@@30102030,migrant,bd,0.9115527,True
