par_id,original_text,text,pcl_label,similarity,is_augmented
,"Describing local police as under resourced and crime fighting legislation in need of an overhaul , she has urged the government to make urgent changes and funding commitments before community members were hurt .","When describing the Local Police as a legislation on resources and crimes fighting that need a review, he has urged the government to make urgent changes and financing commitments before community members are set.",0,0.87897325,True
,"The only force capable of stopping them is the poverty-stricken 99% below . But in their poverty , they are Hausa , Yoruba , Igbo , Ijaw , Igbira , Tiv , Idoma ; in their hopelessness , they are Moslems and Christians , too ignorant to understand that those divisions do n't exist in the class above their heads .","The only force capable of stopping them is 99% affected by poverty below. But in their poverty, they are Hausa, Yoruba, Igbo, Ijaw, Igbira, Tiv, Idoma; In their hopelessness, they are Muslims and Christians, too ignorant to understand that these divisions do not exist in class over their heads.",1,0.970076,True
,"Plans by the Government to return to bulk funding are likely to see increased class sizes and schools most in need missing out on much-needed resources , Labour 's Acting Education spokesperson Grant Robertson says . More&gt;&gt;","It is likely that government plans return to bulk funds see the larger classes and schools that need to miss the very necessary resources, says interim work spokesman, Grant Robertson. More & GT; & GT;",0,0.85515165,True
,"New figures reveal that more than 48,000 Rohingya babies are expected to be born in Bangladesh this year , beginning their lives in refugee camps and makeshift settlements where families rely on food rations to survive and live in flimsy tents made of plastic and bamboo , Save The Children reports .","The new figures reveal that more than 48,000 Rohingya babies are expected to be born in Bangladesh this year, starting their lives in fields of improvised refugees and settlements where families trust food rations to survive and live in weak tents made of plastic and bamboo, except for children's reports.",0,0.993839,True
,"He then listed several immigrants , mostly from Muslim majority countries--Afghanistan , Iraq , Morocco , Pakistan , the Philippines , Somalia , Syria , Uzbekistan and Yemen--who were arrested for conducting or threatening to carry out violent attacks , teaching bomb-making to recruits , and otherwise supporting terror groups .","He then listed several immigrants, mainly from Muslim majority countries (Afghanistan, Iraq, Morocco, Pakistan, Philippines, Somalia, Syria, Uzbekistan and Yemen, who were arrested for performing or threatening to violate, teaching bombs to recruits and, otherwise, supporting terrorist groups.",0,0.9784055,True
,The Sri Lanka 's high Commissioner in Australia Admiral Thisara Samarasinghe in an interview with the Sunday Observer said Sri Lanka is unrelentingly attacked by so- called refugee advocates for the four per cent of asylum seekers from Sri Lanka when there was 60-80 per cent refugees arriving in Australia from elsewhere .,"The High Commissioner of Sri Lanka in the Admiral of Australia, Thisara Samarasinghe, in an interview with The Sunday Observer said that Sri Lanka is attacked in a tireless way by the refugee partners who were called four percent of Sri Lank asylum seekers when there were 60-80 percent of the refugees who arrive in Australia from other parts.",0,0.9019315,True
,"Each one of these migrant workers often holds odd jobs . But before that , they have to spend two to three lakh taka on average just to get to the country , often selling their properties , or taking loans to do so .","Each of these migrant workers often has strange jobs. But before that, they have to spend two to three Lakh Taka on average only to get to the country, often selling their properties or taking loans to do so.",0,0.9882258,True
,"More than two-third of its population suffers from food insecurity , malnutrition and a general lack of access to basic health and sanitation services , according to the latest report for humanitarian assistance to the tune of US$114 million urgently needed to help the most vulnerable in North Korean society .","More than two thirds of its population suffers from food insecurity, malnutrition and a general lack of access to basic health and sanitation services, according to the latest humanitarian assistance report for a sum of US $ 114 million urgently necessary to help the most vulnerable in the North Korean society.",0,0.9882933,True
,"Like many undocumented immigrants living in the state he risks everything he has to get to work . "" The second you put the key in the ignition , you are looking over your shoulder . You are living with it non-stop . ""","Like many undocumented immigrants who live in the state, risks everything you have to get to work. ""At the moment you put the key on the ignition, you are looking over your shoulder. You live with it without stopping.""",0,0.9228604,True
,"The Pentagon chief told reporters late last month that the program is designed to enlist immigrants with needed skills . "" We need and want every qualified patriot willing to serve and able to serve , "" Mattis said . At the time , he said the department was working diligently to address the security screening problems .","The head of the Pentagon told journalists at the end of last month that the program is designed to enlist immigrants with the necessary skills. ""We need and want each qualified patriot willing to serve and be able to serve,"" Mattis said. At that time, he said that the department was working diligently to address security detection problems.",0,0.960309,True
